student_id,age.x,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score,social_media_hours_binned,age_range,age.y,social_media_hours_raw,depression_score,sleep_issues_score
S1001,20,6.9,2.8,2.3,No,97.3,4.6,Good,6,High School,Average,8,No,100,2-3 hours,18-21,20,between 2 and 3 hours,5,4
S1001,20,6.9,2.8,2.3,No,97.3,4.6,Good,6,High School,Average,8,No,100,2-3 hours,18-21,20,between 2 and 3 hours,3,5
S1001,20,6.9,2.8,2.3,No,97.3,4.6,Good,6,High School,Average,8,No,100,2-3 hours,18-21,21,between 2 and 3 hours,2,4
S1001,20,6.9,2.8,2.3,No,97.3,4.6,Good,6,High School,Average,8,No,100,2-3 hours,18-21,21,between 2 and 3 hours,4,1
S1001,20,6.9,2.8,2.3,No,97.3,4.6,Good,6,High School,Average,8,No,100,2-3 hours,18-21,21,between 2 and 3 hours,2,5
S1001,20,6.9,2.8,2.3,No,97.3,4.6,Good,6,High School,Average,8,No,100,2-3 hours,18-21,19,between 2 and 3 hours,4,1
S1001,20,6.9,2.8,2.3,No,97.3,4.6,Good,6,High School,Average,8,No,100,2-3 hours,18-21,20,between 2 and 3 hours,2,4
S1001,20,6.9,2.8,2.3,No,97.3,4.6,Good,6,High School,Average,8,No,100,2-3 hours,18-21,20,between 2 and 3 hours,2,3
S1001,20,6.9,2.8,2.3,No,97.3,4.6,Good,6,High School,Average,8,No,100,2-3 hours,18-21,21,between 2 and 3 hours,3,4
S1001,20,6.9,2.8,2.3,No,97.3,4.6,Good,6,High School,Average,8,No,100,2-3 hours,18-21,21,between 2 and 3 hours,5,4
S1001,20,6.9,2.8,2.3,No,97.3,4.6,Good,6,High School,Average,8,No,100,2-3 hours,18-21,21,between 2 and 3 hours,4,4
S1001,20,6.9,2.8,2.3,No,97.3,4.6,Good,6,High School,Average,8,No,100,2-3 hours,18-21,21,between 2 and 3 hours,3,3
S1001,20,6.9,2.8,2.3,No,97.3,4.6,Good,6,High School,Average,8,No,100,2-3 hours,18-21,20,between 2 and 3 hours,5,5
S1001,20,6.9,2.8,2.3,No,97.3,4.6,Good,6,High School,Average,8,No,100,2-3 hours,18-21,21,between 2 and 3 hours,4,2
S1001,20,6.9,2.8,2.3,No,97.3,4.6,Good,6,High School,Average,8,No,100,2-3 hours,18-21,21,between 2 and 3 hours,4,2
S1001,20,6.9,2.8,2.3,No,97.3,4.6,Good,6,High School,Average,8,No,100,2-3 hours,18-21,21,between 2 and 3 hours,5,2
S1001,20,6.9,2.8,2.3,No,97.3,4.6,Good,6,High School,Average,8,No,100,2-3 hours,18-21,21,between 2 and 3 hours,4,2
S1001,20,6.9,2.8,2.3,No,97.3,4.6,Good,6,High School,Average,8,No,100,2-3 hours,18-21,21,between 2 and 3 hours,1,4
S1001,20,6.9,2.8,2.3,No,97.3,4.6,Good,6,High School,Average,8,No,100,2-3 hours,18-21,21,between 2 and 3 hours,4,4
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,21,between 3 and 4 hours,4,5
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,21,between 3 and 4 hours,5,3
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,21,between 3 and 4 hours,3,2
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,21,between 3 and 4 hours,3,3
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,20,between 3 and 4 hours,4,4
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,21,between 3 and 4 hours,5,1
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,19,between 3 and 4 hours,5,4
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,21,between 3 and 4 hours,3,1
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,21,between 3 and 4 hours,4,2
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,21,between 3 and 4 hours,4,1
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,21,between 3 and 4 hours,4,2
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,18,between 3 and 4 hours,5,5
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,21,between 3 and 4 hours,2,5
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,20,between 3 and 4 hours,3,3
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,20,between 3 and 4 hours,4,3
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,21,between 3 and 4 hours,2,2
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,21,between 3 and 4 hours,3,4
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,20,between 3 and 4 hours,3,4
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,20,between 3 and 4 hours,4,5
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,21,between 3 and 4 hours,3,3
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,20,between 3 and 4 hours,4,4
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,19,between 3 and 4 hours,4,3
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,21,between 3 and 4 hours,1,1
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,19,between 3 and 4 hours,3,5
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,20,between 3 and 4 hours,3,2
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,21,between 3 and 4 hours,5,5
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,21,between 3 and 4 hours,4,3
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,20,between 3 and 4 hours,1,1
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,20,between 3 and 4 hours,2,1
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,21,between 3 and 4 hours,5,5
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,19,between 3 and 4 hours,1,4
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,18,between 3 and 4 hours,4,5
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,19,between 3 and 4 hours,4,5
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,21,between 3 and 4 hours,3,5
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,20,between 3 and 4 hours,5,1
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,19,between 3 and 4 hours,4,3
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,19,between 3 and 4 hours,5,5
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,21,between 3 and 4 hours,3,1
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,21,between 3 and 4 hours,5,5
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,18,between 3 and 4 hours,5,5
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,18,between 3 and 4 hours,2,2
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,18,between 3 and 4 hours,3,5
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,21,between 3 and 4 hours,5,4
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,21,between 3 and 4 hours,1,2
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,21,between 3 and 4 hours,4,5
S1002,21,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3,3-4 hours,18-21,21,between 3 and 4 hours,2,2
S1003,23,1,3.9,1,No,71,9.2,Poor,4,Master,Good,1,Yes,26.8,3-4 hours,22-25,22,between 3 and 4 hours,3,5
S1003,23,1,3.9,1,No,71,9.2,Poor,4,Master,Good,1,Yes,26.8,3-4 hours,22-25,23,between 3 and 4 hours,3,5
S1003,23,1,3.9,1,No,71,9.2,Poor,4,Master,Good,1,Yes,26.8,3-4 hours,22-25,22,between 3 and 4 hours,5,3
S1003,23,1,3.9,1,No,71,9.2,Poor,4,Master,Good,1,Yes,26.8,3-4 hours,22-25,22,between 3 and 4 hours,2,5
S1003,23,1,3.9,1,No,71,9.2,Poor,4,Master,Good,1,Yes,26.8,3-4 hours,22-25,22,between 3 and 4 hours,3,4
S1003,23,1,3.9,1,No,71,9.2,Poor,4,Master,Good,1,Yes,26.8,3-4 hours,22-25,25,between 3 and 4 hours,3,4
S1003,23,1,3.9,1,No,71,9.2,Poor,4,Master,Good,1,Yes,26.8,3-4 hours,22-25,22,between 3 and 4 hours,4,3
S1003,23,1,3.9,1,No,71,9.2,Poor,4,Master,Good,1,Yes,26.8,3-4 hours,22-25,23,between 3 and 4 hours,4,5
S1003,23,1,3.9,1,No,71,9.2,Poor,4,Master,Good,1,Yes,26.8,3-4 hours,22-25,22,between 3 and 4 hours,3,5
S1003,23,1,3.9,1,No,71,9.2,Poor,4,Master,Good,1,Yes,26.8,3-4 hours,22-25,24,between 3 and 4 hours,5,4
S1003,23,1,3.9,1,No,71,9.2,Poor,4,Master,Good,1,Yes,26.8,3-4 hours,22-25,22,between 3 and 4 hours,3,3
S1003,23,1,3.9,1,No,71,9.2,Poor,4,Master,Good,1,Yes,26.8,3-4 hours,22-25,23,between 3 and 4 hours,2,4
S1003,23,1,3.9,1,No,71,9.2,Poor,4,Master,Good,1,Yes,26.8,3-4 hours,22-25,22,between 3 and 4 hours,3,4
S1003,23,1,3.9,1,No,71,9.2,Poor,4,Master,Good,1,Yes,26.8,3-4 hours,22-25,22,between 3 and 4 hours,3,4
S1003,23,1,3.9,1,No,71,9.2,Poor,4,Master,Good,1,Yes,26.8,3-4 hours,22-25,24,between 3 and 4 hours,2,2
S1003,23,1,3.9,1,No,71,9.2,Poor,4,Master,Good,1,Yes,26.8,3-4 hours,22-25,24,between 3 and 4 hours,3,4
S1003,23,1,3.9,1,No,71,9.2,Poor,4,Master,Good,1,Yes,26.8,3-4 hours,22-25,25,between 3 and 4 hours,4,3
S1003,23,1,3.9,1,No,71,9.2,Poor,4,Master,Good,1,Yes,26.8,3-4 hours,22-25,23,between 3 and 4 hours,3,2
S1003,23,1,3.9,1,No,71,9.2,Poor,4,Master,Good,1,Yes,26.8,3-4 hours,22-25,24,between 3 and 4 hours,3,3
S1003,23,1,3.9,1,No,71,9.2,Poor,4,Master,Good,1,Yes,26.8,3-4 hours,22-25,22,between 3 and 4 hours,1,2
S1003,23,1,3.9,1,No,71,9.2,Poor,4,Master,Good,1,Yes,26.8,3-4 hours,22-25,23,between 3 and 4 hours,5,2
S1003,23,1,3.9,1,No,71,9.2,Poor,4,Master,Good,1,Yes,26.8,3-4 hours,22-25,23,between 3 and 4 hours,4,3
S1003,23,1,3.9,1,No,71,9.2,Poor,4,Master,Good,1,Yes,26.8,3-4 hours,22-25,24,between 3 and 4 hours,3,3
S1003,23,1,3.9,1,No,71,9.2,Poor,4,Master,Good,1,Yes,26.8,3-4 hours,22-25,22,between 3 and 4 hours,2,4
S1003,23,1,3.9,1,No,71,9.2,Poor,4,Master,Good,1,Yes,26.8,3-4 hours,22-25,22,between 3 and 4 hours,5,5
S1003,23,1,3.9,1,No,71,9.2,Poor,4,Master,Good,1,Yes,26.8,3-4 hours,22-25,22,between 3 and 4 hours,3,3
S1003,23,1,3.9,1,No,71,9.2,Poor,4,Master,Good,1,Yes,26.8,3-4 hours,22-25,22,between 3 and 4 hours,3,2
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,21,more than 5 hours,5,5
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,21,more than 5 hours,4,2
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,21,more than 5 hours,5,1
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,21,more than 5 hours,5,1
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,21,more than 5 hours,4,1
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,19,more than 5 hours,5,2
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,18,more than 5 hours,5,5
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,21,more than 5 hours,1,4
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,21,more than 5 hours,4,2
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,21,between 4 and 5 hours,4,5
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,20,more than 5 hours,4,2
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,21,between 4 and 5 hours,1,3
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,20,between 4 and 5 hours,4,5
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,20,between 4 and 5 hours,5,3
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,20,more than 5 hours,4,3
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,21,between 4 and 5 hours,5,5
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,20,more than 5 hours,4,4
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,19,between 4 and 5 hours,4,5
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,20,more than 5 hours,3,4
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,20,between 4 and 5 hours,4,5
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,21,between 4 and 5 hours,3,5
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,21,between 4 and 5 hours,4,4
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,21,more than 5 hours,1,1
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,20,more than 5 hours,4,1
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,21,more than 5 hours,3,4
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,21,more than 5 hours,4,5
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,20,more than 5 hours,3,5
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,21,more than 5 hours,3,2
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,19,more than 5 hours,2,5
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,20,more than 5 hours,5,5
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,20,more than 5 hours,5,5
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,21,between 4 and 5 hours,4,4
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,21,between 4 and 5 hours,5,3
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,18,more than 5 hours,2,4
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,21,more than 5 hours,5,4
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,21,more than 5 hours,5,5
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,21,more than 5 hours,4,4
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,18,more than 5 hours,3,5
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,21,more than 5 hours,5,1
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,20,between 4 and 5 hours,3,3
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,20,more than 5 hours,4,2
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,21,between 4 and 5 hours,3,3
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,19,more than 5 hours,5,5
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,18,more than 5 hours,5,4
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,19,between 4 and 5 hours,2,2
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,19,between 4 and 5 hours,3,2
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,21,between 4 and 5 hours,4,5
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,21,between 4 and 5 hours,2,2
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,20,more than 5 hours,5,5
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,21,between 4 and 5 hours,5,4
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,19,between 4 and 5 hours,2,4
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,20,between 4 and 5 hours,4,5
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,20,more than 5 hours,2,2
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,21,more than 5 hours,5,5
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,21,more than 5 hours,4,3
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,20,between 4 and 5 hours,4,1
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,20,more than 5 hours,4,5
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,21,more than 5 hours,5,5
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,20,more than 5 hours,5,5
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,21,between 4 and 5 hours,5,5
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,21,more than 5 hours,2,5
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,21,more than 5 hours,4,3
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,20,between 4 and 5 hours,3,3
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,20,more than 5 hours,5,3
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,21,between 4 and 5 hours,2,3
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,18,more than 5 hours,5,1
S1004,19,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,4+ hours,18-21,20,more than 5 hours,4,4
S1005,24,7.2,1.3,0,No,82.9,7.4,Fair,1,Master,Average,4,No,100,1-2 hours,22-25,23,between 1 and 2 hours,3,2
S1005,24,7.2,1.3,0,No,82.9,7.4,Fair,1,Master,Average,4,No,100,1-2 hours,22-25,23,between 1 and 2 hours,4,1
S1005,24,7.2,1.3,0,No,82.9,7.4,Fair,1,Master,Average,4,No,100,1-2 hours,22-25,25,between 1 and 2 hours,4,4
S1005,24,7.2,1.3,0,No,82.9,7.4,Fair,1,Master,Average,4,No,100,1-2 hours,22-25,25,between 1 and 2 hours,5,5
S1005,24,7.2,1.3,0,No,82.9,7.4,Fair,1,Master,Average,4,No,100,1-2 hours,22-25,24,between 1 and 2 hours,2,4
S1005,24,7.2,1.3,0,No,82.9,7.4,Fair,1,Master,Average,4,No,100,1-2 hours,22-25,22,between 1 and 2 hours,2,4
S1005,24,7.2,1.3,0,No,82.9,7.4,Fair,1,Master,Average,4,No,100,1-2 hours,22-25,22,between 1 and 2 hours,5,5
S1005,24,7.2,1.3,0,No,82.9,7.4,Fair,1,Master,Average,4,No,100,1-2 hours,22-25,22,between 1 and 2 hours,3,5
